Transfert size : 10.000000, handle bandwidth : 20.0000000000 Mbits/sec, bandwidth of top link : 5.0000000000 Mbits/sec, bandwidth of bot link : 5.0000000000 Mbits/sec, handle delay : 35.000000 ms, top delay : 35.000000 ms, considered bot delay ratios relative to top delay : np.arange(0.200000, 3.100000, 0.200000) iterations : 30
ratio iter total_transfert time goodput
2.200 19 11488124 13.341742 6.8885
2.200 20 10428870 16.500217 5.0564
2.200 21 13564564 13.424728 8.0833
2.200 22 13579644 15.300301 7.1003
2.200 23 10884125 13.104328 6.6446
2.200 24 10427401 11.149291 7.4820
2.200 25 11749634 15.655438 6.0041
2.200 26 13533261 16.967842 6.3807
2.200 27 11488024 11.234350 8.1806
2.200 28 11586287 14.010420 6.6158
2.200 29 10410991 17.455564 4.7714
2.400 0 11864376 13.801068 6.8774
2.400 1 11702229 14.423314 6.4907
2.400 2 13564629 19.573259 5.5441
2.400 3 10426002 16.077751 5.1878
2.400 4 11457916 12.845139 7.1360
2.400 5 11474569 11.788578 7.7869
2.400 6 10051101 12.235090 6.5720
2.400 7 11456425 13.351879 6.8643
2.400 8 10411100 14.492387 5.7471
2.400 9 11473135 10.801133 8.4977
2.400 10 11163561 11.649754 7.6661
2.400 11 10442381 15.541680 5.3752
2.400 12 13564629 14.304367 7.5863
2.400 13 10100161 13.241419 6.1022
2.400 14 10247480 15.124546 5.4203
2.400 15 10409566 12.824328 6.4936
2.400 16 10459790 14.245084 5.8742
2.400 17 11471488 14.537566 6.3127
2.400 18 10410974 12.413916 6.7092
2.400 19 10250352 19.269249 4.2556
2.400 20 10412408 12.615530 6.6029
2.400 21 13598783 14.764432 7.3684
2.400 22 10330637 12.736410 6.4889
2.400 23 10430334 11.595710 7.1960
2.400 24 10410748 15.923290 5.2305
2.400 25 18468846 18.016694 8.2008
2.400 26 17750446 16.692429 8.5071
2.400 27 10425902 13.112222 6.3610
2.400 28 10430282 11.709104 7.1263
2.400 29 10410687 15.776153 5.2792
2.600 0 11895757 16.496382 5.7689
2.600 1 11457995 13.408980 6.8360
2.600 2 11458047 16.754625 5.4710
2.600 3 15803329 17.849272 7.0830
2.600 4 10428779 11.354043 7.3481
2.600 5 11114592 13.382466 6.6443
2.600 6 11439897 13.656935 6.7013
2.600 7 10721965 18.640756 4.6015
2.600 8 10086394 14.915239 5.4100
2.600 9 11456447 13.202748 6.9419
2.600 10 11487707 12.850022 7.1519
2.600 11 10411087 13.943396 5.9733
2.600 12 10672844 23.533596 3.6281
2.600 13 13565981 13.162399 8.2453
2.600 14 10428835 19.560351 4.2653
2.600 15 18354315 17.598359 8.3436
2.600 16 10411013 12.761449 6.5265
2.600 17 15656084 16.351133 7.6599
2.600 18 11473109 10.768262 8.5236
2.600 19 10411052 16.687590 4.9910
2.600 20 10429552 17.668364 4.7224
2.600 21 10427336 12.566846 6.6380
2.600 22 12388025 14.827836 6.6837
2.600 23 11473096 11.110066 8.2614
2.600 24 10429991 19.454267 4.2890
2.600 25 10051536 19.473904 4.1292
2.600 26 11473096 12.603403 7.2825
2.600 27 11472958 12.600246 7.2843
2.600 28 13564264 15.115673 7.1789
2.600 29 10428796 11.585876 7.2010
2.800 0 10281469 12.397914 6.6343
2.800 1 10426749 16.162560 5.1609
2.800 2 10638712 17.976672 4.7345
2.800 3 10445306 18.208482 4.5892
2.800 4 11473096 11.677169 7.8602
2.800 5 10429669 16.823325 4.9596
