Transfert size : 10.000000, handle bandwidth : 20.0000000000 Mbits/sec, bandwidth of top link : 5.0000000000 Mbits/sec, bandwidth of bot link : 5.0000000000 Mbits/sec, handle delay : 35.000000 ms, top delay : 35.000000 ms, considered bot delay ratios relative to top delay : np.arange(0.200000, 3.100000, 0.200000) iterations : 30
ratio iter total_transfert time goodput
2.600 17 11947607 13.135118 7.2767
2.600 18 11474608 12.783976 7.1806
2.600 19 11488180 11.430126 8.0406
2.600 20 15853888 18.349940 6.9118
2.600 21 10083721 16.747737 4.8168
2.600 22 10754576 13.055333 6.5902
2.600 23 13564638 17.069118 6.3575
2.600 24 13564651 12.975861 8.3630
2.600 25 10425941 14.356800 5.8096
2.600 26 15428476 20.198227 6.1108
2.600 27 13566037 16.140921 6.7238
2.600 28 10901446 17.486128 4.9875
2.600 29 10443529 16.071315 5.1986
2.800 0 10149247 19.161932 4.2373
2.800 1 10265250 17.157375 4.7864
2.800 2 11474500 11.663112 7.8706
2.800 3 11474556 10.786003 8.5107
2.800 4 11458220 14.335436 6.3943
2.800 5 11456734 11.101711 8.2558
2.800 6 11474595 11.213709 8.1861
2.800 7 10429600 16.754009 4.9801
2.800 8 10427436 12.141286 6.8707
2.800 9 11471779 12.876284 7.1274
2.800 10 11474591 11.556766 7.9431
2.800 11 11474630 11.389500 8.0598
2.800 12 11471792 13.507663 6.7942
2.800 13 11488663 13.803496 6.6584
2.800 14 16474223 17.874819 7.3732
2.800 15 10229775 22.347690 3.6620
2.800 16 10428705 11.501043 7.2541
2.800 17 11474409 14.930405 6.1482
2.800 18 11505833 14.678229 6.2710
2.800 19 11473131 12.543855 7.3171
2.800 20 11474630 11.156854 8.2279
2.800 21 13582451 17.131598 6.3426
2.800 22 10409384 19.945870 4.1751
2.800 23 11474552 11.559535 7.9412
2.800 24 10394703 16.242777 5.1197
2.800 25 11098018 14.561609 6.0971
2.800 26 10525182 15.887479 5.2999
2.800 27 10836412 15.059647 5.7565
2.800 28 10425941 13.104543 6.3648
2.800 29 10446592 17.813632 4.6915
3.000 0 13563204 13.894249 7.8094
3.000 1 15004559 18.354560 6.5399
3.000 2 10428831 12.794068 6.5210
3.000 3 10509250 13.652320 6.1582
3.000 4 11783775 16.070778 5.8659
3.000 5 10476301 17.005730 4.9284
3.000 6 10428770 11.819942 7.0584
3.000 7 10427501 13.066076 6.3845
3.000 8 11014908 14.264648 6.1775
3.000 9 10445293 20.859027 4.0061
3.000 10 11031370 16.639833 5.3036
3.000 11 11488098 11.035462 8.3281
3.000 12 13075173 15.675710 6.6728
3.000 13 15656084 15.403533 8.1312
3.000 14 11083272 13.238844 6.6974
3.000 15 10428127 17.306999 4.8203
3.000 16 10775102 21.654002 3.9808
3.000 17 10428883 11.308174 7.3779
3.000 18 10494244 17.782828 4.7211
3.000 19 13565946 13.321563 8.1468
3.000 20 10769595 12.457623 6.9160
3.000 21 10084912 14.198935 5.6821
3.000 22 16852005 20.633394 6.5339
3.000 23 11458181 14.762707 6.2093
3.000 24 11458155 14.249506 6.4329
3.000 25 11473109 10.846524 8.4621
3.000 26 10168503 14.181405 5.7362
3.000 27 11474582 10.929964 8.3986
3.000 28 11047697 10.811465 8.1748
3.000 29 10409605 13.492469 6.1721
